pozycja,term,n,occurrences,docs_total,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y0,baseline_share,share_at_y0,peak_share,peak_year,docs_2021_2025,emerging,prevalence_2021_2025,threshold,exceedance,w_rdzeniu_4
114,odi score,2,1044,834,5,6,5,7,8,11,14,23,34,24,42,37,42,48,62,82,59,67,75,81,102,2018,0.0006464124315965044,0.0033356497567755385,0.006822286134706709,2025,384,True,0.005220725191358612,0.003232062157982522,2.1108152632080666,False
115,therapeutic level iii,3,871,871,2,10,5,2,2,5,3,13,17,33,23,47,81,65,96,85,82,65,73,73,89,2017,0.0006785288361306389,0.005633998748000278,0.006191950464396285,2019,382,True,0.005193533914320286,0.0033926441806531944,1.8251104845319008,False
116,pass,1,1435,517,4,0,1,5,3,0,5,6,6,5,4,2,9,10,33,49,65,66,67,73,104,2019,0.00020872875610184494,0.0021284829721362228,0.006956056451073507,2025,375,True,0.005098364444686145,0.0010436437805092247,6.665163517459416,False
117,cross sectional study,3,965,903,6,7,4,12,14,19,19,21,44,38,44,43,44,78,67,69,67,67,73,73,94,2018,0.0006896255619001026,0.00542043085476025,0.006287204869239516,2025,374,True,0.005084768806166982,0.003448127809500513,1.823367698818062,True
118,pad,1,2109,786,6,8,7,13,17,16,21,18,25,22,37,37,39,43,54,52,84,57,66,84,80,2023,0.0008466202645028261,0.0049586776859504135,0.005669163798339745,2024,371,True,0.005043981890609493,0.00423310132251413,1.3392459491077586,False
119,primary aim,2,775,772,4,6,5,9,11,9,19,22,21,27,22,34,50,59,48,58,84,68,61,83,72,2017,0.000603992816766607,0.0034777770049384434,0.005601673753121415,2024,368,True,0.005003194975052003,0.0030199640838330347,1.8548809183225754,False
120,significantly higher rate,3,838,760,6,6,10,5,6,16,18,14,26,34,26,36,39,43,47,60,61,68,66,82,91,2022,0.0008840835303376794,0.00470360379055129,0.006086549394689319,2025,368,True,0.005003194975052003,0.004420417651688397,1.3769172676171302,False
121,direct anterior approach,3,1215,716,1,2,1,5,4,5,9,9,12,13,26,45,54,39,48,77,80,72,71,72,71,2015,0.0001611575361240662,0.0019237883832778394,0.005334335086401202,2023,366,True,0.004976003698013677,0.001,5.334335086401202,True
122,prospectively collected data,3,945,936,4,3,4,10,14,7,25,22,47,39,36,57,82,55,79,94,65,74,69,84,66,2013,0.00044541108321648155,0.0035216544282931214,0.005703554288099047,2017,358,True,0.004867238589860373,0.0022270554160824076,2.5610293515426372,False
123,interquartile range,2,814,734,3,3,6,6,5,6,7,10,23,34,25,32,35,48,70,63,71,66,75,75,71,2017,0.00048109206195109526,0.0024344439034569105,0.005634861006761833,2023,358,True,0.004867238589860373,0.0024054603097554764,2.3425291965572432,False
124,ndi,1,1527,891,5,5,9,9,15,11,19,19,34,37,33,68,71,54,63,86,61,79,57,75,81,2022,0.0007627698064695699,0.00546448087431694,0.00546448087431694,2022,353,True,0.004799260397264558,0.0038138490323478495,1.4327994705529659,False
125,potential risk factor,3,867,792,3,4,8,10,5,9,19,24,26,30,33,36,43,62,55,74,69,68,53,74,87,2018,0.000599036467771563,0.004308547602501737,0.005819008761955722,2025,351,True,0.004772069120226231,0.002995182338857815,1.9427894877928358,False
