pozycja,term,n,occurrences,docs_total,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y0,baseline_share,share_at_y0,peak_share,peak_year,docs_2021_2025,emerging,prevalence_2021_2025,threshold,exceedance,w_rdzeniu_4
191,existing literature,2,494,479,7,2,3,8,3,10,13,10,13,6,13,18,27,19,34,37,36,41,41,64,74,2022,0.0004937758186679613,0.002835996403126513,0.004949501705571534,2025,256,True,0.0034804834609057415,0.0024688790933398066,2.0047566196836453,False
192,ase score,2,786,558,1,2,5,9,2,12,24,11,15,21,18,26,34,27,32,64,53,54,52,56,40,2016,0.00031735872325308834,0.0018703690381986907,0.003906836964688205,2023,255,True,0.003466887822386578,0.0015867936162654416,2.4620952117787334,False
193,secondary objective,2,517,514,4,2,5,7,2,4,11,11,7,15,23,28,25,40,37,38,47,50,51,54,53,2018,0.0004446175677427804,0.002779708130646282,0.0038317054845980465,2023,255,True,0.003466887822386578,0.002223087838713902,1.72359608013274,False
194,pod,1,1945,525,3,5,3,3,7,9,7,16,11,24,18,22,27,26,53,37,43,39,40,53,79,2021,0.0004436287961162419,0.0026844799600449494,0.005283927496488529,2025,254,True,0.0034532921838674154,0.0022181439805812097,2.3821390959048596,False
195,proximal junctional kyphosis,3,727,491,2,1,4,3,4,3,2,9,16,12,18,25,29,38,25,46,47,52,37,58,60,2016,0.0002808842290447735,0.001798431767498741,0.004013109491003947,2025,254,True,0.0034532921838674154,0.0014044211452238675,2.8574829599024936,True
196,linear regression,2,585,559,2,3,6,5,4,8,13,9,21,21,26,25,34,34,43,52,34,58,49,52,60,2017,0.0004386724471211979,0.0023648883633581416,0.004013109491003947,2025,253,True,0.003439696545348252,0.0021933622356059895,1.8296610682253271,False
197,both cohort,2,581,506,2,1,8,4,4,9,7,13,10,17,25,26,33,22,37,35,34,52,48,58,61,2022,0.0004370854161737957,0.003596873486892163,0.004079994649187345,2025,253,True,0.003439696545348252,0.0021854270808689784,1.8669095321931497,False
198,rts,1,1230,379,0,2,0,0,0,0,3,2,2,4,5,9,8,21,36,34,45,42,47,54,65,2018,7.96876245119133e-05,0.0014593467685892981,0.004347535281920942,2025,253,True,0.003439696545348252,0.001,4.347535281920941,False
199,electronic medical record,3,492,484,0,1,2,0,1,4,6,8,17,14,16,22,30,34,31,46,50,56,44,61,41,2013,0.00011794440582046775,0.0012737898995953843,0.004116892758318148,2024,252,True,0.0034261009068290893,0.001,4.116892758318148,False
200,artificial intelligence,2,383,275,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,19,30,55,61,87,2021,0.0,0.0011861655637407916,0.005819008761955722,2025,252,True,0.0034261009068290893,0.001,5.819008761955722,True
201,t0,1,976,530,4,3,4,6,8,5,9,21,25,23,22,23,32,31,31,32,39,44,56,51,61,2021,0.00044541108321648155,0.0024347608939942565,0.0042073628850488355,2023,251,True,0.003412505268309926,0.0022270554160824076,1.8892043972798702,False
202,lateral lumbar interbody fusion,4,1449,456,0,0,0,0,0,0,2,0,13,18,16,22,27,32,31,45,52,52,53,43,50,2014,0.0,0.0013405824085797274,0.003981968444778362,2023,250,True,0.0033989096297907632,0.001,3.9819684447783623,False
203,higher odd,2,503,402,0,0,0,2,2,2,2,4,7,9,15,6,16,23,31,35,35,49,45,53,66,2017,0.0,0.001112888641580302,0.004414420440104341,2025,248,True,0.003371718352752437,0.001,4.41442044010434,False
204,mpta,1,721,344,1,2,1,1,0,1,1,3,3,4,4,5,8,17,24,21,34,40,53,55,66,2018,0.0001611575361240662,0.00118137595552467,0.004414420440104341,2025,248,True,0.003371718352752437,0.001,4.41442044010434,False
205,taa,1,1523,516,0,0,2,6,7,7,6,9,13,11,15,24,32,28,55,54,37,49,66,46,49,2015,7.810059356451109e-05,0.0011098779134295228,0.0049586776859504135,2023,247,True,0.003358122714233274,0.001,4.958677685950414,False
206,numeric rating scale,3,529,511,1,3,2,4,7,7,9,7,14,17,21,25,34,29,43,41,39,56,40,53,59,2014,0.00024005164516227836,0.001266105608103076,0.003946224332820547,2025,247,True,0.003358122714233274,0.0012002582258113918,3.2878127789150065,False
207,olif,1,1093,344,0,0,0,0,0,0,0,1,0,0,3,5,8,14,27,39,44,58,52,45,48,2019,0.0,0.001741486068111455,0.0040118973507643355,2022,247,True,0.003358122714233274,0.001,4.011897350764335,False
208,confounder,1,466,433,1,0,0,4,2,4,7,8,10,12,16,18,20,24,30,32,38,55,51,40,61,2015,4.241961482989734e-05,0.0011838697743248242,0.004079994649187345,2025,245,True,0.003330931437194948,0.001,4.079994649187345,False
209,ors,1,550,480,1,3,3,2,4,6,6,9,8,11,25,20,31,32,45,30,40,44,34,57,69,2015,0.00027910194194453395,0.001849796522382538,0.0046150759146545385,2025,244,True,0.0033173357986757846,0.0013955097097226698,3.307089791278983,False
210,provider,1,791,648,4,3,8,2,7,6,13,11,34,17,20,50,37,62,59,73,62,47,52,41,40,2018,0.0006016122703455038,0.004308547602501737,0.004342394860508001,2020,242,True,0.0032901445216374585,0.003008061351727519,1.443585869022977,False
211,similar rate,2,474,441,2,5,4,2,2,9,8,6,12,14,12,20,17,28,23,35,45,37,46,60,54,2021,0.0004402594780686001,0.002809339493070296,0.004049402713099818,2024,242,True,0.0032901445216374585,0.0022012973903430006,1.8395527704999686,False
212,covid 19 pandemic,3,511,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,62,41,31,27,2020,0.0,0.004818273749330795,0.0050568110875265325,2021,242,True,0.0032901445216374585,0.001,5.056811087526532,True
213,all participant,2,590,555,1,4,4,10,3,11,20,11,24,26,24,29,34,36,28,49,48,43,33,54,63,2016,0.00035799605098274615,0.0020861808502985395,0.004213764965554144,2025,241,True,0.0032765488831182957,0.0017899802549137308,2.354084607350727,False
214,sagittal vertical axis,3,593,547,0,2,1,1,0,2,4,11,12,23,28,31,42,46,32,71,51,44,51,45,50,2014,0.00011873792129416884,0.001712966410962985,0.004223425138302302,2020,241,True,0.0032765488831182957,0.001,4.223425138302302,False
215,esr,1,1120,553,2,5,3,8,11,12,18,19,16,16,27,20,33,31,51,41,57,52,38,43,50,2017,0.0004012091812863445,0.0022953328232593728,0.003596873486892163,2022,240,True,0.0032629532445991325,0.002006045906431723,1.7930165383354277,False
216,quality assessment,2,474,458,1,0,0,2,2,1,5,12,10,18,20,16,25,28,37,41,44,38,47,49,62,2014,4.241961482989734e-05,0.0013405824085797274,0.004146879807370744,2025,240,True,0.0032629532445991325,0.001,4.146879807370744,False
217,percutaneous kyphoplasty,2,809,477,2,2,2,7,4,15,10,13,22,15,14,19,20,31,31,31,34,52,47,54,52,2016,0.0002426274477362191,0.0013668081432990432,0.003644462441789836,2024,239,True,0.0032493576060799697,0.0012131372386810955,3.0041633589222276,True
218,pkp,1,1286,431,0,2,2,1,3,7,7,10,13,8,12,14,20,26,32,35,41,47,45,54,52,2016,0.0001577882180764244,0.0010071217897992951,0.003644462441789836,2024,239,True,0.0032493576060799697,0.001,3.6444624417898357,False
219,ss,1,1058,493,5,3,3,3,2,11,11,10,13,17,17,18,27,27,31,57,44,63,27,51,53,2020,0.0004487804012641233,0.0033906370828624115,0.004357750570657813,2022,238,True,0.0032357619675608064,0.0022439020063206166,1.9420413896787445,False
220,prognostic level iii,3,432,431,0,0,0,0,0,0,1,3,2,10,3,24,26,45,44,35,40,46,39,61,52,2016,0.0,0.0017264944967987914,0.004116892758318148,2024,238,True,0.0032357619675608064,0.001,4.116892758318148,False
221,transfusion rate,2,1169,767,6,6,3,5,9,10,10,27,33,39,47,66,56,61,83,69,47,45,58,38,49,2015,0.0006107314528618907,0.0034776174620791715,0.005353457172342621,2019,237,True,0.0032221663290416436,0.003053657264309453,1.7531296766381668,False
222,correlation analysis,2,527,487,4,3,4,5,11,5,7,11,17,20,21,18,25,31,27,41,40,40,37,49,71,2020,0.00044541108321648155,0.0024388793052168224,0.004748846231021337,2025,237,True,0.0032221663290416436,0.0022270554160824076,2.1323430915675137,False
223,dm,1,1388,477,2,0,4,4,4,15,12,10,11,9,17,33,28,26,30,35,48,41,48,46,54,2015,0.00024104041678881688,0.0012578616352201257,0.003611798541903552,2025,237,True,0.0032221663290416436,0.0012052020839440844,2.9968406045928493,False
224,machine learning,2,367,285,0,0,0,0,0,0,0,0,0,0,2,2,1,4,19,20,34,45,52,49,57,2019,0.0,0.0012254901960784314,0.003906836964688205,2023,237,True,0.0032221663290416436,0.001,3.9068369646882046,True
225,retrospective case control study,4,565,530,4,3,2,7,6,8,9,15,16,12,26,31,28,38,43,46,39,54,41,56,46,2015,0.0003673104896519705,0.0019237883832778394,0.0037794425322264964,2024,236,True,0.0032085706905224803,0.0018365524482598524,2.057900680052752,False
226,amputation free survival,3,793,571,3,3,3,6,9,19,19,13,22,20,35,34,33,38,35,44,40,37,32,62,64,2015,0.0003639411716043286,0.002589715131335553,0.004280650123737542,2025,235,True,0.0031949750520033175,0.0018197058580216431,2.3523857467774496,False
227,ai,1,797,357,1,2,0,2,2,2,6,4,8,8,6,16,13,11,17,24,20,32,41,63,79,2019,0.00012210723934181065,0.0010964912280701754,0.005283927496488529,2025,235,True,0.0031949750520033175,0.001,5.283927496488529,False
228,hip knee ankle angle,4,419,384,2,0,2,2,3,1,3,8,9,9,5,12,16,13,32,33,39,32,45,61,57,2019,0.00016293982322430577,0.0020639834881320948,0.004116892758318148,2024,234,True,0.0031813794134841543,0.001,4.116892758318148,False
229,two reviewer,2,616,597,7,2,4,6,14,11,17,26,20,25,27,24,42,44,48,47,55,54,52,27,45,2017,0.0005328261154502169,0.0029213326841482923,0.003906836964688205,2023,233,True,0.003167783774964991,0.0026641305772510844,1.4664585129755072,False
230,mep,1,958,587,0,3,4,13,11,10,20,16,32,32,33,25,33,29,48,45,46,49,39,46,53,2013,0.00027573262389689215,0.002397722163944253,0.0035449133837201527,2025,233,True,0.003167783774964991,0.0013786631194844608,2.5712687411597277,False
231,secondary outcome measure,3,709,692,1,6,4,8,11,15,16,17,25,37,45,46,51,59,48,71,53,40,37,51,51,2014,0.0004376836754946594,0.0027556416176361064,0.004223425138302302,2020,232,True,0.003154188136445828,0.002188418377473297,1.9298984059796565,False
232,minimum clinically important difference,4,476,397,0,0,0,2,3,6,7,9,7,14,8,13,15,24,28,29,34,46,57,47,48,2017,0.0,0.001043333101481533,0.004282494365138993,2023,232,True,0.003154188136445828,0.001,4.2824943651389935,False
233,secondary endpoint,2,565,544,2,3,2,5,7,11,12,19,14,25,23,27,25,36,44,60,34,36,34,52,73,2014,0.00028247125999217575,0.001861920011916288,0.004882616547388134,2025,229,True,0.003113401220888339,0.0014123562999608786,3.457071383137088,False
234,mechanical complication,2,710,403,4,3,1,3,5,6,10,8,8,9,12,11,22,22,27,23,28,33,43,59,66,2021,0.0003282601928697149,0.0017480334623548508,0.004414420440104341,2025,229,True,0.003113401220888339,0.0016413009643485746,2.6895862099590038,False
235,all cause revision,3,474,304,0,0,0,0,0,0,0,1,3,1,3,6,7,11,18,25,27,40,34,61,67,2019,0.0,0.0011609907120743034,0.00448130559828774,2025,229,True,0.003113401220888339,0.001,4.48130559828774,False
236,sacral slope,2,578,490,1,3,4,6,3,7,8,3,19,18,25,25,30,23,37,50,44,47,38,47,52,2015,0.0003181522387267895,0.001849796522382538,0.0034780282255367535,2025,228,True,0.003099805582369176,0.0015907611936339476,2.186392426126211,False
237,posterior tibial slope,3,698,434,2,4,6,4,8,7,10,8,11,17,15,20,19,21,25,29,39,38,40,49,62,2021,0.0004785162593771546,0.0024347608939942565,0.004146879807370744,2025,228,True,0.003099805582369176,0.002392581296885773,1.733224201312782,False
238,newcastle ottawa scale,3,353,351,0,0,0,0,0,1,1,3,4,6,15,15,16,13,21,28,32,41,42,42,71,2015,0.0,0.0011098779134295228,0.004748846231021337,2025,228,True,0.003099805582369176,0.001,4.748846231021337,False
239,frailty,1,796,303,0,0,0,0,0,0,0,5,1,0,2,7,11,18,11,20,23,41,37,61,66,2020,0.0,0.0011896972220569865,0.004414420440104341,2025,228,True,0.003099805582369176,0.001,4.41442044010434,True
240,reintervention,1,788,474,0,0,8,9,6,9,9,14,17,25,11,24,26,24,25,40,32,25,35,66,69,2016,0.00031240237425804435,0.0017264944967987914,0.0046150759146545385,2025,227,True,0.003086209943850013,0.0015620118712902217,2.954571600561836,False
241,shorter operative time,3,466,437,3,3,3,8,2,5,16,13,10,14,19,16,19,27,18,34,26,38,32,53,78,2022,0.0003639411716043286,0.002628484471190427,0.00521704233830513,2025,227,True,0.003086209943850013,0.0018197058580216431,2.8669701288850167,False
242,roc curve,2,467,404,3,2,3,2,2,6,6,6,7,8,15,19,26,17,29,26,33,42,49,52,51,2021,0.000324097359348372,0.002060182294918217,0.003681442524417731,2023,227,True,0.003086209943850013,0.00162048679674186,2.2718127243119874,False
243,trial registration number,3,407,405,0,0,0,0,0,2,3,3,0,9,13,17,25,19,41,47,51,35,32,43,65,2016,0.0,0.0012229336018991439,0.004347535281920942,2025,226,True,0.00307261430533085,0.001,4.347535281920941,False
244,reduction quality,2,493,364,1,6,3,4,2,3,2,5,3,8,7,10,12,19,28,25,43,47,40,39,57,2021,0.0003986333787124039,0.0026844799600449494,0.003812454016453749,2025,226,True,0.00307261430533085,0.0019931668935620197,1.9127620616056153,False
245,ethnicity,1,543,400,2,3,7,6,6,9,13,9,9,19,11,9,15,13,19,26,31,44,37,57,55,2022,0.00047772274390345346,0.0030435083350625995,0.0038469325774448267,2024,224,True,0.003045423028292524,0.0023886137195172673,1.6105293819639794,False
246,medial proximal tibial angle,4,357,334,1,5,0,0,3,1,3,5,3,4,5,13,10,13,25,20,30,35,48,55,55,2021,0.00024163867610968058,0.0018728929953801972,0.003711952487008166,2024,223,True,0.0030318273897733607,0.0012081933805484029,3.0723165238029186,False
247,lesson,1,730,698,6,10,6,14,12,11,14,17,22,12,14,22,73,87,90,66,55,38,36,35,58,2017,0.0008872575922324838,0.005077554427210127,0.006045865184155664,2018,222,True,0.003018231751254198,0.004436287961162419,1.362820726942057,False
248,sa,1,1267,432,1,4,4,5,10,8,6,6,12,14,13,19,23,29,30,27,43,43,45,50,40,2021,0.00035799605098274615,0.0026844799600449494,0.0033809166040570998,2023,221,True,0.0030046361127350346,0.0017899802549137308,1.8888010606687085,False
249,international classification,2,694,638,4,3,2,5,13,7,28,27,25,38,38,37,55,55,38,43,38,43,44,52,43,2011,0.0003673104896519705,0.0023440770196735037,0.0038255547054322878,2017,220,True,0.0029910404742158714,0.0018365524482598524,2.0830086878580736,False
250,pts,1,1104,350,2,1,1,3,4,1,3,4,3,9,7,6,15,22,19,30,33,37,33,47,70,2017,0.0001637333386980069,0.001043333101481533,0.004681961072837937,2025,220,True,0.0029910404742158714,0.001,4.681961072837937,False
251,mean body mass index,4,478,474,2,2,3,6,10,8,10,15,12,16,18,19,34,30,41,29,38,37,37,53,54,2017,0.00028167774451847463,0.0023648883633581416,0.003611798541903552,2025,219,True,0.0029774448356967085,0.001408388722592373,2.564489820150958,False
252,keyword,1,454,442,4,1,1,5,5,9,11,9,11,9,19,32,22,26,23,36,46,36,37,47,53,2015,0.0002485725683578016,0.0014058453570107289,0.0035449133837201527,2025,219,True,0.0029774448356967085,0.001242862841789008,2.852216080913253,False
253,network meta analysis,3,586,349,0,0,0,0,1,0,1,1,1,5,12,5,19,16,25,44,40,33,34,61,51,2017,0.0,0.0013215552618766084,0.004116892758318148,2024,219,True,0.0029774448356967085,0.001,4.116892758318148,True
254,study protocol,2,486,471,5,2,1,6,6,6,8,3,14,21,21,26,31,23,39,41,38,41,38,43,58,2019,0.00033083599544365554,0.0025154798761609907,0.003879339174637148,2025,218,True,0.0029638491971775453,0.0016541799772182776,2.345173577279523,True
255,discharge disposition,2,624,461,1,3,1,7,3,3,7,3,5,9,15,23,29,38,47,50,40,50,32,51,44,2015,0.00020100134838002285,0.0011098779134295228,0.003458532198934772,2022,217,True,0.0029502535586583825,0.0010050067419001142,3.4413024855892056,False
256,fjs,1,598,286,0,0,0,0,0,0,1,1,0,1,4,10,6,7,15,24,35,33,34,53,62,2020,0.0,0.0014276366664683839,0.004146879807370744,2025,217,True,0.0029502535586583825,0.001,4.146879807370744,False
257,mcs,1,860,482,2,2,5,9,4,6,8,13,12,13,21,30,27,27,37,51,38,47,31,47,52,2016,0.0003597783380829857,0.002158118120998489,0.0034780282255367535,2025,215,True,0.0029230622816200564,0.0017988916904149285,1.933428368182922,False
258,anatomic total shoulder arthroplasty,4,571,400,0,0,0,0,1,0,2,2,6,6,15,13,25,39,23,53,36,42,45,43,49,2017,0.0,0.0017388885024692217,0.0033809166040570998,2023,215,True,0.0029230622816200564,0.001,3.3809166040571,True
259,rtka,1,970,301,0,0,1,1,1,2,1,2,1,6,4,5,3,9,26,24,42,37,42,44,50,2019,3.9050296782255544e-05,0.001676986584107327,0.0033442579091699553,2025,215,True,0.0029230622816200564,0.001,3.344257909169955,False
260,robotic assisted total knee arthroplasty,5,422,244,0,0,0,0,0,0,0,0,2,0,0,2,3,4,4,14,21,21,36,46,91,2021,0.0,0.001311025096766138,0.006086549394689319,2025,215,True,0.0029230622816200564,0.001,6.086549394689318,True
261,matched cohort,2,526,444,3,3,2,2,5,4,3,9,12,15,20,25,31,27,27,42,32,38,47,45,52,2016,0.0003248908748220731,0.001798431767498741,0.0035311795642374156,2023,214,True,0.002909466643100893,0.0016244543741103655,2.173763462067853,False
262,5 0,2,515,487,4,4,2,4,7,10,10,18,16,22,22,20,30,39,32,36,42,28,32,51,58,2017,0.00040715430190792706,0.002086666202963066,0.003879339174637148,2025,211,True,0.0028686797275434043,0.0020357715095396353,1.905586730366618,False
263,mid term follow up,4,596,499,1,2,4,6,6,7,7,11,23,19,26,21,23,38,42,53,56,38,42,40,34,2013,0.00027830842647083283,0.0017233628053349318,0.0034960669247097015,2021,210,True,0.002855084089024241,0.001391542132354164,2.5123687191527386,False
264,healthcare system,2,427,401,1,5,3,6,4,9,6,4,6,7,20,17,23,16,27,38,43,32,36,50,48,2020,0.0003587895664564472,0.0022604247219082745,0.0033745022609165147,2024,209,True,0.0028414884505050778,0.0017939478322822361,1.8810481554658802,False
265,eligibility criterion,2,493,477,3,1,2,4,5,7,10,12,15,14,20,22,33,38,36,47,51,52,30,34,41,2015,0.00024520325031015974,0.0014798372179060304,0.003596873486892163,2022,208,True,0.002827892811985915,0.0012260162515507988,2.9337894031522387,False
266,narrative review,2,347,316,0,0,0,0,1,2,1,5,1,6,11,8,14,14,20,25,35,47,28,46,52,2019,0.0,0.0012899896800825593,0.0034780282255367535,2025,208,True,0.002827892811985915,0.001,3.4780282255367534,True
267,pjis,1,540,338,1,0,0,2,0,4,4,4,4,10,9,11,13,21,23,25,36,35,42,51,43,2018,4.241961482989734e-05,0.0014593467685892981,0.003441992306134845,2024,207,True,0.0028142971734667517,0.001,3.441992306134845,False
268,fnf,1,811,331,0,1,1,0,0,0,2,0,5,9,8,12,12,17,23,34,32,41,37,52,45,2018,7.88941090382122e-05,0.00118137595552467,0.0035094823513531753,2024,207,True,0.0028142971734667517,0.001,3.509482351353175,False
269,multivariate regression analysis,3,481,459,0,2,2,6,7,6,10,2,10,16,19,19,31,23,53,47,44,40,33,43,46,2014,0.0001577882180764244,0.0011916288076264244,0.003418472652218782,2019,206,True,0.002800701534947589,0.001,3.418472652218782,False
270,pjk,1,1595,357,2,0,1,1,2,2,1,5,6,7,6,18,25,24,19,33,41,34,36,45,49,2016,0.00012388952644205024,0.0012948708725990935,0.003277372750986556,2025,205,True,0.0027871058964284256,0.001,3.2773727509865562,False
271,fais,1,796,258,0,0,0,0,0,0,0,1,0,0,0,1,2,6,19,25,41,42,41,43,37,2019,0.0,0.0012254901960784314,0.003080390683696469,2023,204,True,0.002773510257909263,0.001,3.0803906836964687,False
272,aor,1,944,306,0,2,0,0,1,0,0,3,4,9,7,6,6,9,23,33,36,30,40,49,48,2019,7.96876245119133e-05,0.0014834881320949433,0.0033070122156981844,2024,203,True,0.0027599146193900996,0.001,3.3070122156981845,False
273,substantial clinical benefit,3,367,276,0,0,1,2,0,5,4,0,0,1,3,2,9,10,15,21,32,33,37,44,57,2020,3.9050296782255544e-05,0.0012491820831598357,0.003812454016453749,2025,203,True,0.0027599146193900996,0.001,3.812454016453749,False
274,standardized mean difference,3,405,385,1,2,2,1,0,4,2,8,8,17,20,18,17,23,31,29,30,33,29,54,56,2014,0.00020020783290632173,0.001266105608103076,0.0037455688582703497,2025,202,True,0.0027463189808709368,0.0010010391645316086,3.7416806364643294,False
275,independent sample t test,4,381,371,4,5,0,5,1,3,4,9,9,11,11,19,16,19,25,28,31,39,36,45,51,2021,0.0003688975205993726,0.0019353227618928706,0.0034111430673533544,2025,202,True,0.0027463189808709368,0.001844487602996863,1.8493716421899724,False
276,demographic information,2,400,397,1,0,5,5,3,5,6,7,9,15,12,23,14,29,25,37,32,31,45,50,43,2018,0.00023767109874117505,0.0020152883947185543,0.0033809166040570998,2023,201,True,0.0027327233423517735,0.0011883554937058753,2.845038056342672,False
277,increased odd,2,452,363,1,0,0,1,3,1,3,6,6,6,6,20,18,26,23,42,31,44,38,42,46,2016,4.241961482989734e-05,0.0014387454139989928,0.0030767172764363587,2025,201,True,0.0027327233423517735,0.001,3.0767172764363586,False
278,cochrane database,2,498,496,3,2,3,3,10,14,8,6,28,17,19,24,39,31,47,44,47,42,35,33,41,2016,0.000324097359348372,0.0017264944967987914,0.0030314757481940146,2019,198,True,0.002691936426794284,0.00162048679674186,1.8707191902390563,False
279,scoping review,2,345,237,0,0,0,0,0,0,0,1,2,1,2,3,3,5,12,10,25,24,42,46,61,2021,0.0,0.001560744162816831,0.004079994649187345,2025,198,True,0.002691936426794284,0.001,4.079994649187345,True
280,methodological index,2,321,313,0,0,0,0,0,0,0,0,1,4,8,7,14,20,29,33,33,33,33,48,50,2018,0.0,0.001389854065323141,0.0033442579091699553,2025,197,True,0.0026783407882751214,0.001,3.344257909169955,False
281,observation group,2,1072,279,1,0,2,0,0,1,1,2,1,1,3,9,7,9,24,21,27,38,40,45,47,2019,0.00012052020839440844,0.0015479876160990713,0.003143602434619758,2025,197,True,0.0026783407882751214,0.001,3.143602434619758,False
282,included patient,2,327,321,1,0,0,3,1,3,1,5,7,5,12,8,16,22,18,23,43,33,32,44,44,2017,4.241961482989734e-05,0.001112888641580302,0.002969561989606533,2024,196,True,0.002664745149755958,0.001,2.969561989606533,False
283,1 1 ratio,3,329,320,1,0,3,4,0,3,6,6,6,4,4,11,17,12,23,24,30,35,24,43,64,2019,0.00015957050517666397,0.0014834881320949433,0.004280650123737542,2025,196,True,0.002664745149755958,0.001,4.2806501237375425,False
284,receiver operating characteristic roc curve,5,297,297,1,0,1,1,1,2,4,1,3,6,5,11,7,14,21,23,36,29,40,42,49,2019,8.146991161215289e-05,0.0013544891640866873,0.003277372750986556,2025,196,True,0.002664745149755958,0.001,3.2773727509865562,False
285,cnki,1,364,364,0,0,0,0,0,1,3,3,8,10,17,19,22,26,26,34,25,38,34,53,45,2015,0.0,0.0012578616352201257,0.0035769723965715055,2024,195,True,0.0026511495112367953,0.001,3.5769723965715055,False
286,lateral center edge angle,4,414,363,2,1,1,0,2,3,5,7,5,7,17,16,21,14,37,30,39,37,47,41,31,2015,0.0001637333386980069,0.0012578616352201257,0.0035311795642374156,2023,195,True,0.0026511495112367953,0.001,3.5311795642374157,False
287,3d printing,2,531,358,0,0,0,0,1,2,0,1,0,6,8,14,22,29,41,39,39,36,35,36,49,2016,0.0,0.0010071217897992951,0.003277372750986556,2025,195,True,0.0026511495112367953,0.001,3.2773727509865562,False
288,mental health,2,548,407,2,3,7,6,13,10,11,13,9,15,13,13,24,24,22,28,25,31,36,46,56,2023,0.00047772274390345346,0.00270473328324568,0.0037455688582703497,2025,194,True,0.002637553872717632,0.0023886137195172673,1.5680931695507967,False
289,two independent reviewer,3,384,381,3,5,1,4,6,9,4,11,13,14,18,12,15,16,28,29,37,36,35,39,46,2021,0.0003655282025517308,0.0023099013609689098,0.0030767172764363587,2025,193,True,0.0026239582341984692,0.001827641012758654,1.6834363285557596,False
290,30 day readmission,3,678,447,0,0,1,0,0,0,1,2,10,12,18,31,43,36,47,54,40,37,40,42,33,2015,3.9050296782255544e-05,0.0013318534961154272,0.0032121824995538636,2020,192,True,0.002610362595679306,0.001,3.2121824995538635,False
291,mme,1,488,253,0,0,0,0,0,0,0,1,0,0,1,0,2,7,18,32,41,27,34,43,47,2019,0.0,0.0011609907120743034,0.003143602434619758,2025,192,True,0.002610362595679306,0.001,3.143602434619758,False
292,30 day mortality,3,710,476,3,3,4,4,6,4,8,16,19,22,14,19,40,36,43,44,55,35,29,36,36,2017,0.0004029914683865842,0.0027822216039507545,0.003433637158197028,2021,191,True,0.002596766957160143,0.0020149573419329207,1.7040743676008483,False
293,psi,1,1431,458,1,1,0,1,0,1,0,7,16,25,21,44,34,29,41,46,40,48,25,27,51,2013,8.2263427085854e-05,0.0011988610819721264,0.0034111430673533544,2025,191,True,0.002596766957160143,0.001,3.4111430673533545,False
294,retear,1,785,425,0,3,7,2,6,2,12,11,14,17,14,18,21,35,33,39,45,25,37,50,34,2018,0.0003928835142436588,0.002432244614315497,0.0033745022609165147,2024,191,True,0.002596766957160143,0.001964417571218294,1.7178131118139577,False
295,medial unicompartmental knee arthroplasty,4,711,410,1,3,2,5,3,3,9,8,13,19,21,31,15,21,29,36,41,28,34,40,48,2014,0.00024005164516227836,0.001415059209056379,0.003210487592803157,2025,191,True,0.002596766957160143,0.0012002582258113918,2.6748307353884795,False
296,subjective shoulder value,3,462,400,1,2,5,2,6,7,5,10,11,17,18,18,20,24,31,32,48,32,30,38,43,2018,0.00031735872325308834,0.0016678248783877692,0.0029966287926083157,2021,191,True,0.002596766957160143,0.0015867936162654416,1.888480494181062,False
297,numerical rating scale,3,382,361,0,2,3,3,3,4,9,7,6,12,15,13,18,15,34,26,37,33,32,39,50,2017,0.00019683851485867996,0.0012519997217778397,0.0033442579091699553,2025,191,True,0.002596766957160143,0.001,3.344257909169955,False
298,significantly lower rate,3,356,336,4,2,4,5,2,5,2,7,6,9,11,19,9,17,22,21,32,18,38,45,58,2023,0.0004055672709605249,0.0028549962434259953,0.003879339174637148,2025,191,True,0.002596766957160143,0.0020278363548026247,1.9130435083923405,False
299,aseptic revision,2,517,328,1,1,0,3,3,3,2,3,12,8,15,11,15,16,21,23,32,37,43,36,43,2017,8.2263427085854e-05,0.001043333101481533,0.0032306536438767844,2023,191,True,0.002596766957160143,0.001,3.230653643876784,False
300,2 test,2,381,373,1,1,0,0,1,4,8,8,14,21,14,18,17,20,21,36,36,43,35,35,40,2013,8.2263427085854e-05,0.0010490034467256107,0.002974337691083904,2022,189,True,0.002569575680121817,0.001,2.974337691083904,False
301,cutoff value,2,452,337,0,1,0,3,3,7,2,5,9,14,9,14,20,15,24,22,34,39,35,43,38,2016,3.984381225595665e-05,0.0010071217897992951,0.0029020719443882026,2024,189,True,0.002569575680121817,0.001,2.9020719443882026,False
302,patient quality,2,439,414,2,3,4,10,7,17,12,5,24,23,15,14,13,26,24,27,31,21,39,47,50,2023,0.0003605718535566868,0.002930127723516153,0.0033442579091699553,2025,188,True,0.002555980041602654,0.001802859267783434,1.854974466909793,False
303,eligible study,2,383,371,3,3,1,4,8,5,5,9,8,24,15,21,14,22,21,20,30,27,35,25,71,2021,0.00028584057803981755,0.0018728929953801972,0.004748846231021337,2025,188,True,0.002555980041602654,0.0014292028901990877,3.3227236409799197,False
