pozycja,term,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,kategoria,wariant_do,na_mapie,w_rdzeniu_4
371,three study,2,2015,2022,321,0.222,0.265,metoda,,False,False
372,reimbursement,1,2016,2025,400,0.221,0.258,organizacja,,False,False
373,eight study,2,2017,2025,317,0.221,0.287,metoda,,False,False
374,independent factor,2,2016,2024,304,0.221,0.239,metoda,,False,False
375,18 2,2,2022,2024,349,0.219,0.26,,,False,False
376,cut off value,3,2017,2023,286,0.219,0.28,metoda,,False,False
377,tegner activity scale,3,2012,2024,368,0.218,0.275,skala,,False,False
378,primary total joint arthroplasty,4,2017,2022,309,0.218,0.258,technika,,True,False
379,higher body mass index,4,2020,2025,275,0.218,0.33,metoda,,False,False
380,certainty,1,2021,2025,218,0.218,0.287,metoda,,False,False
381,surgical orthopedic,2,2019,2025,216,0.218,0.265,metoda,,False,False
382,all prom,2,2021,2024,187,0.218,0.282,skala,,False,False
383,coronal alignment,2,2020,2025,341,0.216,0.287,parametr,,False,False
384,ao ota,2,2021,2025,296,0.216,0.287,metoda,,False,False
385,comparable outcome,2,2020,2025,276,0.216,0.352,metoda,,False,False
386,maximum stress,2,2020,2022,265,0.216,0.25,parametr,,False,False
387,rcr,1,2018,2022,262,0.216,0.243,technika,arcr,True,False
388,nomogram,1,2020,2025,190,0.216,0.352,metoda,,False,False
389,cox proportional hazard model,4,2020,2025,334,0.215,0.287,,,False,False
390,demographic variable,2,2018,2025,294,0.215,0.309,metoda,,False,False
391,mechanical alignment,2,2018,2025,298,0.213,0.301,technika,,True,False
392,operative duration,2,2020,2025,266,0.213,0.352,wynik,,False,False
393,uiv,1,2017,2025,262,0.213,0.258,parametr,upper instrumented vertebra,False,False
394,fracture healing time,3,2016,2025,320,0.212,0.287,,,False,False
395,inferior outcome,2,2014,2024,318,0.212,0.246,metoda,,False,False
396,univariate and multivariate analysis,4,2019,2025,309,0.212,0.273,,,False,False
397,ar,1,2019,2023,259,0.212,0.272,niejasne,,False,False
398,scb,1,2020,2025,199,0.212,0.352,metoda,,False,False
399,decision curve analysis,3,2021,2025,164,0.212,0.301,metoda,,False,False
400,patient specific instrumentation,3,2013,2025,344,0.209,0.301,technologia,,True,False
401,dexamethasone,1,2020,2025,305,0.209,0.258,lek,,True,False
402,0 0,2,2016,2024,285,0.209,0.26,metoda,,False,False
403,multivariable regression analysis,3,2018,2024,248,0.209,0.304,metoda,,False,False
404,baseline demographic,2,2019,2022,228,0.209,0.28,metoda,,False,False
405,non randomized study,3,2020,2025,222,0.209,0.251,metoda,,False,False
406,large cohort,2,2017,2019,357,0.207,0.273,metoda,,False,False
407,title,1,2016,2022,307,0.207,0.235,metoda,,False,False
408,hoo,1,2014,2025,304,0.207,0.23,skala,nonarthritic hip score,False,False
409,implant retention,2,2018,2025,254,0.207,0.309,technika,,True,False
410,surgical data,2,2018,2022,253,0.206,0.265,metoda,,False,False
411,independent t test,3,2016,2025,293,0.205,0.301,metoda,,False,False
412,adductor canal block,3,2016,2021,288,0.205,0.239,technika,,True,True
413,purpose hypothesis,2,2019,2019,269,0.205,0.28,metoda,,False,False
414,quickdash,1,2014,2021,313,0.203,0.232,skala,,False,False
415,25 0,2,2020,2025,298,0.203,0.323,metoda,,False,False
416,postoperative clinical outcome,3,2017,2025,268,0.203,0.251,metoda,,False,False
417,study quality,2,2019,2025,263,0.203,0.301,metoda,,False,False
418,oblique lumbar interbody fusion,4,2019,2024,199,0.203,0.239,technika,,True,True
419,latarjet procedure,2,2018,2024,326,0.202,0.304,technika,,True,False
420,all outcome,2,2017,2023,290,0.202,0.24,metoda,,False,False
421,owhto,1,2017,2019,282,0.202,0.259,technika,open wedge high tibial osteotomy,True,False
422,single assessment numeric evaluation,4,2018,2024,251,0.202,0.253,skala,,False,False
423,promis,1,2019,2025,216,0.202,0.244,skala,,False,False
424,percutaneous endoscopic lumbar discectomy,4,2016,2018,323,0.2,0.264,technika,,True,True
425,bias tool,2,2019,2025,226,0.2,0.244,metoda,,False,False
426,elixhauser comorbidity index,3,2022,2024,171,0.2,0.325,czynnik,,False,False
427,pearldiver database,2,2022,2022,197,0.199,0.25,metoda,,False,False
428,ovid,1,2011,2022,347,0.197,0.221,metoda,,False,False
429,this prospective cohort study,4,2017,2025,342,0.197,0.258,,,False,False
430,postoperative complication rate,3,2014,2025,291,0.197,0.273,wynik,,False,False
431,eligible patient,2,2021,2025,262,0.197,0.251,metoda,,False,False
432,liv,1,2020,2025,261,0.197,0.251,parametr,upper instrumented vertebra,False,False
433,ovid medline,2,2018,2024,257,0.197,0.246,metoda,,False,False
434,femoroacetabular impingement fai,3,2012,2016,451,0.196,0.281,rozpoznanie,femoroacetabular impingement syndrome,True,False
435,longer length,2,2017,2024,299,0.196,0.231,metoda,,False,False
436,modified macnab criterion,3,2017,2025,260,0.196,0.287,skala,,False,False
437,arcr,1,2020,2024,208,0.196,0.267,technika,,True,False
438,prediction model,2,2019,2024,204,0.196,0.253,metoda,,False,False
439,lower odd,2,2019,2025,206,0.194,0.301,metoda,,False,False
440,90 day complication,3,2020,2024,196,0.193,0.26,wynik,,False,False
441,fns,1,2021,2024,142,0.193,0.267,technologia,femoral neck system,True,False
442,hospital readmission,2,2014,2022,348,0.191,0.302,wynik,,False,False
443,calibration curve,2,2022,2025,141,0.191,0.323,metoda,,False,False
444,30 day mortality,3,2012,2021,336,0.19,0.259,wynik,,False,False
445,transfemoral amputation,2,2013,2025,295,0.19,0.215,technika,,True,False
446,modifiable risk factor,3,2018,2025,267,0.19,0.244,metoda,,False,False
447,primary tja,2,2018,2024,238,0.19,0.224,technika,primary total joint arthroplasty,True,False
448,surgery duration,2,2018,2025,228,0.19,0.402,metoda,,False,False
449,single center retrospective study,4,2020,2025,204,0.19,0.237,metoda,,False,False
450,retear rate,2,2017,2023,288,0.189,0.272,wynik,,False,False
451,research question,2,2018,2018,276,0.189,0.287,metoda,,False,False
452,radiological and clinical outcome,4,2018,2024,272,0.189,0.253,metoda,,False,False
453,upper instrumented vertebra,3,2020,2025,255,0.189,0.237,parametr,,False,False
454,metric,1,2018,2024,237,0.189,0.26,metoda,,False,False
455,hounsfield unit,2,2022,2025,220,0.189,0.265,parametr,,False,False
456,3 month follow up,4,2016,2025,371,0.187,0.28,metoda,,False,False
457,visual analog scale pain score,5,2017,2025,322,0.187,0.244,skala,vas,False,False
458,peld,1,2016,2018,301,0.187,0.235,technika,percutaneous endoscopic lumbar discectomy,True,False
459,cda,1,2016,2023,263,0.187,0.256,technika,cervical disc arthroplasty,True,False
460,retrospective cohort analysis,3,2021,2025,216,0.187,0.287,metoda,,False,False
461,fjs 12,2,2020,2025,185,0.187,0.273,skala,forgotten joint score,False,False
462,therefore this study,3,2023,2025,163,0.187,0.337,metoda,,False,False
463,machine learning model,3,2022,2024,142,0.187,0.289,technologia,,True,False
464,wmd,1,2015,2019,336,0.186,0.225,metoda,,False,False
465,tk,1,2017,2022,264,0.186,0.213,parametr,miara_kregoslupa,False,False
466,lateral extra articular tenodesis,4,2020,2025,178,0.186,0.273,technika,,True,False
467,bone joint j,3,2016,2017,634,0.184,1.213,metoda,,False,False
468,mean sd,2,2011,2020,405,0.184,0.265,metoda,,False,False
469,multimodal analgesia,2,2021,2025,271,0.184,0.258,lek,,True,False
470,t nnis grade,3,2017,2021,247,0.184,0.212,skala,,False,False
471,volar locking plate,3,2016,2024,363,0.183,0.217,technologia,,True,False
472,mua,1,2022,2022,239,0.183,0.265,technika,manipulation under anesthesia,True,False
473,t1 slope,2,2018,2025,231,0.183,0.244,parametr,,False,False
474,revision risk,2,2019,2025,231,0.183,0.28,wynik,,False,False
475,postoperative hospital stay,3,2023,2023,216,0.183,0.24,wynik,,False,False
476,roc analysis,2,2022,2025,200,0.183,0.373,metoda,,False,False
477,hu,1,2022,2025,197,0.183,0.373,parametr,hounsfield unit,False,False
478,10 0,2,2022,2025,285,0.181,0.222,metoda,,False,False
479,prwe,1,2018,2023,246,0.181,0.224,skala,patient rated wrist evaluation,False,False
480,cl,1,2020,2024,224,0.181,0.224,metoda,,False,False
481,pi ll,2,2022,2024,207,0.181,0.231,parametr,,False,False
482,adverse reaction,2,2011,2025,379,0.18,0.244,metoda,,False,False
483,10 1,2,2018,2025,298,0.18,0.258,metoda,,False,False
484,mean sd age,3,2018,2025,286,0.18,0.309,metoda,,False,False
485,distal femur fracture,3,2014,2025,264,0.18,0.244,rozpoznanie,,True,False
486,minimum 10 year follow up,5,2022,2024,220,0.18,0.239,metoda,,False,False
487,same day discharge,3,2020,2025,177,0.178,0.201,organizacja,,False,False
488,chinese clinical trial registry,4,2021,2025,153,0.178,0.273,metoda,,False,False
489,femoral neck system,3,2022,2024,124,0.178,0.275,technologia,,True,True
490,these risk factor,3,2016,2024,279,0.177,0.195,metoda,,False,False
491,pooled analysis,2,2018,2021,251,0.177,0.246,metoda,,False,False
492,embase database,2,2020,2022,209,0.177,0.213,metoda,,False,False
493,chronic periprosthetic joint infection,4,2020,2022,185,0.177,0.199,rozpoznanie,,True,False
494,potential confounder,2,2018,2025,275,0.176,0.28,metoda,,False,False
495,clinicaltrial gov,2,2018,2019,269,0.176,0.232,metoda,,False,False
496,lp,1,2021,2025,229,0.176,0.215,metoda,,False,False
497,eos,1,2016,2020,275,0.174,0.24,niejasne,,False,False
498,patient reported outcome score,4,2016,2018,273,0.174,0.213,skala,,False,False
499,malnutrition,1,2018,2025,237,0.174,0.23,rozpoznanie,,True,False
500,emergency department visit,3,2022,2025,181,0.174,0.301,wynik,,False,False
501,clinical question,2,2011,2023,357,0.173,0.264,metoda,,False,False
502,pubmed medline,2,2016,2024,263,0.173,0.231,metoda,,False,False
503,greater proportion,2,2020,2022,229,0.173,0.213,metoda,,False,False
504,discrimination,1,2022,2022,198,0.173,0.258,,,False,False
505,virtual reality,2,2020,2025,187,0.173,0.28,technologia,,True,False
506,asd patient,2,2021,2025,181,0.173,0.237,metoda,adult spinal deformity,False,False
507,8 0,2,2017,2025,317,0.171,0.222,metoda,,False,False
508,tea,1,2013,2025,312,0.171,0.215,technika,total elbow arthroplasty,True,False
509,graft type,2,2018,2025,305,0.171,0.273,technika,,True,False
510,hv,1,2023,2025,226,0.171,0.258,,,False,False
511,bone cement leakage,3,2019,2025,208,0.171,0.208,rozpoznanie,,True,False
512,kinesiophobia,1,2022,2025,194,0.171,0.287,rozpoznanie,,True,False
513,early onset scoliosis,3,2011,2020,357,0.17,0.284,rozpoznanie,,True,True
514,pfna,1,2011,2025,308,0.17,0.23,technologia,proximal femoral nail antirotation,True,False
515,bivariate analysis,2,2016,2020,268,0.17,0.202,metoda,,False,False
516,aa,1,2019,2023,249,0.17,0.24,metoda,,False,False
517,opioid prescription,2,2018,2020,216,0.17,0.227,organizacja,,False,False
518,surgical characteristic,2,2022,2025,197,0.17,0.222,metoda,,False,False
519,this cross sectional study,4,2021,2025,222,0.168,0.208,metoda,,False,False
520,operation duration,2,2020,2021,221,0.168,0.206,metoda,,False,False
521,other outcome,2,2019,2024,255,0.167,0.188,metoda,,False,False
522,receiver operating characteristic curve analysis,5,2019,2023,221,0.167,0.232,metoda,,False,False
523,multivariable logistic regression model,4,2020,2024,202,0.167,0.253,metoda,,False,False
524,binary logistic regression,3,2022,2025,186,0.167,0.316,,,False,False
525,open wedge high tibial osteotomy,5,2016,2019,307,0.165,0.218,technika,,True,True
526,open reduction internal fixation group,5,2019,2021,245,0.165,0.186,technika,,True,False
527,rs,1,2021,2024,225,0.165,0.202,metoda,,False,False
528,elevated risk,2,2023,2025,219,0.165,0.316,metoda,,False,False
529,mowhto,1,2019,2024,171,0.165,0.224,technika,open wedge high tibial osteotomy,True,False
530,ihot 12,2,2021,2025,153,0.165,0.187,skala,hip outcome score activity,False,False
531,future work,2,2019,2023,233,0.164,0.232,metoda,,False,False
532,mean standard deviation,3,2017,2017,292,0.162,0.235,metoda,,False,False
533,13 9,2,2014,2022,265,0.162,0.213,metoda,,False,False
534,search term,2,2014,2021,265,0.162,0.186,metoda,,False,False
535,chronic kidney disease,3,2019,2025,212,0.162,0.237,rozpoznanie,,True,False
536,all model,2,2020,2024,200,0.162,0.217,metoda,,False,False
537,protective factor,2,2023,2025,181,0.162,0.265,metoda,,False,False
538,eras,1,2021,2025,172,0.162,0.201,organizacja,enhanced recovery,False,False
539,control cohort,2,2018,2022,237,0.161,0.221,metoda,,False,False
540,surgical variable,2,2022,2022,215,0.161,0.228,metoda,,False,False
541,limb symmetry index,3,2020,2024,191,0.161,0.217,skala,,False,False
542,augmented reality,2,2022,2023,148,0.161,0.24,technologia,,True,False
543,model performance,2,2022,2025,134,0.161,0.265,metoda,,False,False
544,9 0,2,2016,2024,272,0.16,0.239,metoda,,False,False
545,institutional database,2,2018,2025,242,0.16,0.222,metoda,,False,False
546,ppf,1,2021,2025,173,0.16,0.23,rozpoznanie,periprosthetic fracture,True,False
547,dair,1,2022,2025,163,0.16,0.23,technika,implant retention,True,False
548,single academic institution,3,2022,2025,161,0.16,0.237,metoda,,False,False
549,acb,1,2019,2022,234,0.158,0.191,technika,adductor canal block,True,False
550,question purpose,2,2019,2021,233,0.158,0.232,metoda,,False,False
551,nah,1,2020,2021,229,0.158,0.219,metoda,,False,False
552,each model,2,2020,2024,199,0.158,0.202,metoda,,False,False
553,morphine milligram equivalent,3,2020,2023,147,0.158,0.2,wynik,,False,False
554,psm,1,2023,2025,133,0.158,0.366,metoda,,False,False
555,koo jr,2,2022,2025,127,0.158,0.273,skala,osteoarthritis outcome score,False,False
556,preoperative factor,2,2019,2023,255,0.157,0.2,metoda,,False,False
557,treatment success,2,2023,2025,237,0.157,0.201,,,False,False
558,fao,1,2018,2025,233,0.157,0.201,metoda,,False,False
559,infection risk,2,2017,2025,226,0.157,0.273,wynik,,False,False
560,cephalomedullary nail,2,2021,2025,213,0.157,0.179,technologia,,True,False
561,associated factor,2,2022,2025,196,0.157,0.258,metoda,,False,False
562,lcea,1,2021,2024,173,0.157,0.188,parametr,lateral center edge angle,False,False
563,patient specific factor,3,2022,2025,171,0.157,0.309,metoda,,False,False
564,fracture related infection,3,2022,2025,121,0.157,0.258,rozpoznanie,,True,False
565,higher revision rate,3,2018,2023,267,0.155,0.2,metoda,,False,False
566,short stem,2,2015,2021,252,0.155,0.199,technologia,,True,False
567,large national database,3,2022,2023,146,0.155,0.32,metoda,,False,False
568,let,1,2021,2025,139,0.155,0.208,technika,lateral extra articular tenodesis,True,False
569,tt,1,2019,2023,238,0.154,0.184,metoda,,False,False
570,perioperative data,2,2021,2024,213,0.154,0.181,,,False,False
571,review manager,2,2021,2023,178,0.154,0.192,metoda,,False,False
572,ldfa,1,2022,2025,133,0.154,0.258,parametr,,False,False
573,23 3,2,2021,2024,229,0.152,0.181,metoda,,False,False
574,ten study,2,2020,2023,195,0.152,0.208,metoda,,False,False
575,sarcopenia,1,2022,2024,134,0.152,0.21,rozpoznanie,,True,False
576,50 0,2,2017,2025,234,0.151,0.194,metoda,,False,False
577,10 study,2,2021,2021,189,0.151,0.179,metoda,,False,False
578,patient acceptable symptomatic state,4,2019,2021,165,0.151,0.239,metoda,,False,False
579,scapular notching,2,2013,2024,285,0.149,0.181,rozpoznanie,,True,False
580,oxford shoulder score,3,2015,2022,241,0.149,0.177,skala,,False,False
581,1 year mortality,3,2021,2025,234,0.149,0.244,wynik,,False,False
582,3d printing technology,3,2017,2019,212,0.149,0.205,technologia,,True,False
583,sl,1,2019,2022,201,0.149,0.162,metoda,,False,False
584,less intraoperative blood loss,4,2022,2023,192,0.149,0.192,metoda,,False,False
585,dataset,1,2022,2025,186,0.149,0.265,metoda,,False,False
586,imaging data,2,2022,2024,169,0.149,0.224,metoda,,False,False
587,cervical disc arthroplasty,3,2016,2023,310,0.148,0.216,technika,,True,False
588,registry data,2,2018,2023,231,0.148,0.176,metoda,,False,False
589,injury characteristic,2,2021,2025,184,0.148,0.172,metoda,,False,False
590,eq vas,2,2021,2023,170,0.148,0.184,skala,vas,False,False
591,significant postoperative improvement,3,2022,2025,168,0.148,0.323,,,False,False
592,coronal plane alignment,3,2023,2025,138,0.148,0.301,parametr,,False,False
593,23 1,2,2022,2023,260,0.147,0.184,,,False,False
594,fragility fracture,2,2021,2022,235,0.147,0.162,,,False,False
595,median follow up time,4,2017,2023,234,0.147,0.176,metoda,,False,False
596,patient cohort,2,2020,2021,204,0.147,0.212,metoda,,False,False
597,white patient,2,2022,2023,178,0.147,0.2,organizacja,,False,False
598,external validation,2,2021,2025,143,0.147,0.172,metoda,,False,False
599,21 4,2,2018,2025,272,0.145,0.201,,,False,False
600,inclusion and exclusion criterion,4,2019,2025,233,0.145,0.187,metoda,,False,False
601,descriptive analysis,2,2022,2025,214,0.145,0.194,metoda,,False,False
602,each outcome,2,2019,2025,202,0.145,0.179,metoda,,False,False
603,mdo,1,2021,2025,190,0.145,0.158,niejasne,,False,False
604,arthroplasty surgeon,2,2022,2025,178,0.145,0.201,organizacja,,False,False
605,this narrative review,3,2022,2025,151,0.145,0.215,metoda,,False,False
606,targeted muscle reinnervation,3,2021,2023,150,0.145,0.2,technika,,True,False
607,quickdash score,2,2019,2023,216,0.144,0.16,skala,quickdash,False,False
608,2 study,2,2021,2022,213,0.144,0.177,,,False,False
609,procedure type,2,2019,2022,208,0.144,0.169,metoda,,False,False
610,greater odd,2,2020,2023,163,0.144,0.2,metoda,,False,False
611,final cohort,2,2022,2025,163,0.144,0.208,metoda,,False,False
612,fi,1,2022,2025,144,0.144,0.222,metoda,,False,False
613,20 5,2,2020,2025,238,0.142,0.194,metoda,,False,False
614,pain interference,2,2022,2025,170,0.142,0.179,skala,,False,False
615,binary logistic regression analysis,4,2021,2024,166,0.142,0.181,metoda,,False,False
616,pjf,1,2022,2023,140,0.142,0.192,rozpoznanie,proximal junctional failure,True,False
617,chronic obstructive pulmonary disease,4,2018,2019,258,0.141,0.191,rozpoznanie,,True,False
618,12 4,2,2019,2019,256,0.141,0.198,metoda,,False,False
619,hidden blood loss,3,2015,2020,255,0.141,0.208,wynik,,False,False
620,visual analogue scale score,4,2012,2014,247,0.141,0.157,skala,vas,False,False
621,29 4,2,2022,2025,235,0.141,0.187,metoda,,False,False
622,stata,1,2017,2018,211,0.141,0.206,metoda,,False,False
623,increased likelihood,2,2021,2022,211,0.141,0.177,,,False,False
624,postoperative vas score,3,2022,2025,199,0.141,0.179,skala,vas,False,False
625,anterior cruciate ligament reconstruction group,5,2018,2025,196,0.141,0.179,,,False,False
626,11 study,2,2021,2025,185,0.141,0.215,metoda,,False,False
627,90 day readmission rate,4,2019,2024,155,0.141,0.173,wynik,,False,False
628,joint line convergence angle,4,2021,2025,136,0.141,0.187,parametr,,False,False
629,primary unilateral total knee arthroplasty,5,2015,2016,270,0.139,0.182,technika,,True,False
630,national joint registry,3,2017,2012,258,0.139,0.183,metoda,,False,False
631,significantly increased risk,3,2016,2025,258,0.139,0.201,,,False,False
632,peer reviewed journal,3,2018,2025,228,0.139,0.222,metoda,,False,False
633,hrs,1,2022,2025,211,0.139,0.222,metoda,,False,False
634,paired sample t test,4,2018,2024,204,0.139,0.181,metoda,,False,False
635,continuous data,2,2021,2025,178,0.139,0.179,metoda,,False,False
636,kinematic alignment,2,2022,2025,164,0.139,0.194,technika,,True,False
637,china national knowledge infrastructure,4,2020,2024,163,0.139,0.195,metoda,,False,False
638,retrospective single center study,4,2022,2024,159,0.139,0.217,metoda,,False,False
639,nonhome discharge,2,2022,2024,138,0.139,0.181,,,False,False
640,jlca,1,2021,2025,130,0.139,0.194,parametr,joint line convergence angle,False,False
641,random forest,2,2023,2025,112,0.139,0.244,technologia,,True,False
642,midterm outcome,2,2015,2022,254,0.138,0.191,wynik,,False,False
643,biomarker,1,2020,2021,225,0.138,0.206,technologia,,True,False
644,surgery type,2,2020,2024,201,0.138,0.166,metoda,,False,False
645,4 study,2,2019,2023,175,0.138,0.152,metoda,,False,False
646,complication profile,2,2023,2025,145,0.138,0.251,,,False,False
647,longer hospital stay,3,2021,2025,237,0.136,0.158,metoda,,False,False
648,healthcare cost,2,2022,2025,221,0.136,0.201,organizacja,,False,False
649,95 cis,2,2015,2025,216,0.136,0.187,metoda,,False,False
650,high bmi,2,2021,2024,183,0.136,0.145,czynnik,,False,False
651,proximal junctional failure,3,2021,2025,151,0.136,0.165,rozpoznanie,,True,False
652,revision surgery rate,3,2022,2025,150,0.136,0.258,,,False,False
653,vas leg,2,2022,2023,124,0.136,0.216,skala,,False,False
654,hip outcome score activity,4,2019,2025,187,0.135,0.172,skala,,False,False
655,lla,1,2020,2023,153,0.135,0.2,parametr,coronal alignment,False,False
656,oblique lateral interbody fusion,4,2020,2022,140,0.135,0.199,technika,,True,False
657,skilled nursing facility,3,2016,2020,237,0.133,0.202,organizacja,,False,False
658,cox regression,2,2023,2025,218,0.133,0.208,metoda,,False,False
659,elective total knee arthroplasty,4,2022,2022,200,0.133,0.162,technika,,True,False
660,chronic lateral ankle instability,4,2023,2025,192,0.133,0.208,rozpoznanie,,True,False
661,tja patient,2,2022,2025,168,0.133,0.244,,,False,False
662,roc curve analysis,3,2023,2025,153,0.133,0.222,metoda,,False,False
663,any cause,2,2017,2022,248,0.132,0.184,metoda,,False,False
664,14 2,2,2018,2024,245,0.132,0.173,metoda,,False,False
665,30 kg m2,3,2018,2022,193,0.132,0.199,metoda,,False,False
666,hos adl,2,2019,2021,192,0.132,0.146,skala,hip outcome score activity,False,False
667,80 0,2,2022,2025,186,0.132,0.165,,,False,False
668,clinical trial registration,3,2023,2024,178,0.132,0.202,metoda,,False,False
669,12 study,2,2022,2023,170,0.132,0.176,metoda,,False,False
670,rod fracture,2,2021,2024,150,0.132,0.166,,,False,False
671,promis pf,2,2022,2023,127,0.132,0.168,skala,promis,False,False
672,eq 5d 5l,3,2021,2023,120,0.132,0.176,skala,,False,False
673,adi,1,2023,2024,118,0.132,0.26,organizacja,area deprivation index,False,False
674,fri,1,2023,2025,106,0.132,0.237,rozpoznanie,fracture related infection,True,False
675,txa group,2,2015,2019,221,0.131,0.177,metoda,tranexamic acid,False,False
676,15 0,2,2021,2025,192,0.131,0.172,metoda,,False,False
677,21 9,2,2019,2025,189,0.131,0.158,metoda,,False,False
678,semi structured interview,3,2019,2025,185,0.131,0.187,metoda,,False,False
679,all adult patient,3,2020,2024,182,0.131,0.166,metoda,,False,False
680,randomized control trial,3,2022,2022,181,0.131,0.235,metoda,,False,False
681,primary reverse total shoulder arthroplasty,5,2021,2025,141,0.131,0.172,technika,,True,False
682,database inception,2,2022,2023,133,0.131,0.192,metoda,,False,False
683,anterior cruciate ligament return,4,2023,2025,131,0.131,0.201,,,False,False
684,tip apex distance,3,2017,2023,239,0.129,0.152,parametr,,False,False
685,healthcare provider,2,2017,2019,211,0.129,0.198,,,False,False
686,this cohort study,3,2021,2025,192,0.129,0.172,metoda,,False,False
687,lsi,1,2021,2025,168,0.129,0.179,skala,limb symmetry index,False,False
688,von mise stress,3,2022,2023,149,0.129,0.144,parametr,maximum stress,False,False
689,this scoping review,3,2023,2025,102,0.129,0.222,metoda,,False,False
690,vte prophylaxis,2,2012,2012,264,0.128,0.175,lek,,True,False
691,eleven study,2,2022,2023,174,0.128,0.16,metoda,,False,False
692,black patient,2,2022,2024,139,0.128,0.202,organizacja,,False,False
693,ed visit,2,2023,2023,137,0.128,0.16,wynik,emergency department visit,False,False
694,clinical outcome score,3,2013,2020,287,0.126,0.214,skala,,False,False
695,inconsistency,1,2021,2025,180,0.126,0.151,metoda,,False,False
696,olt,1,2023,2024,172,0.126,0.159,rozpoznanie,osteochondral lesion of the talus,True,False
697,asc,1,2023,2024,164,0.126,0.21,organizacja,ambulatory surgery center,False,False
698,generalizability,1,2023,2025,155,0.126,0.208,metoda,,False,False
699,femoral neck shortening,3,2023,2024,136,0.126,0.145,rozpoznanie,,True,False
700,17 2,2,2014,2022,230,0.125,0.177,metoda,,False,False
701,12 0,2,2021,2025,206,0.125,0.143,metoda,,False,False
702,25 5,2,2020,2022,193,0.125,0.14,metoda,,False,False
703,healthcare professional,2,2023,2025,166,0.125,0.201,metoda,,False,False
704,fracture characteristic,2,2022,2025,157,0.125,0.194,metoda,,False,False
705,plp,1,2023,2023,155,0.125,0.168,rozpoznanie,phantom limb pain,True,False
706,psychological readiness,2,2022,2025,116,0.125,0.165,czynnik,,False,False
707,joint line obliquity,3,2023,2025,100,0.125,0.215,parametr,,False,False
708,deep surgical site infection,4,2021,2021,182,0.123,0.173,,,False,False
709,bias assessment,2,2022,2023,162,0.123,0.152,metoda,,False,False
710,dls,1,2021,2023,155,0.123,0.144,rozpoznanie,degenerative lumbar spondylolisthesis,True,False
711,insurance type,2,2022,2025,153,0.123,0.151,organizacja,,False,False
712,dh,1,2022,2023,153,0.123,0.144,niejasne,,False,False
713,funding,1,2012,2023,265,0.122,0.184,metoda,,False,False
714,ds,1,2018,2019,206,0.122,0.157,niejasne,,False,False
715,31 3,2,2020,2022,190,0.122,0.169,metoda,,False,False
716,30 day complication,3,2022,2019,183,0.122,0.184,wynik,,False,False
717,longer operation time,3,2022,2022,175,0.122,0.14,,,False,False
718,ra total knee arthroplasty,4,2023,2025,91,0.122,0.222,,,False,False
719,mcid achievement,2,2022,2023,90,0.122,0.16,metoda,,False,False
720,local infiltration analgesia,3,2017,2020,255,0.12,0.202,lek,,True,False
721,following question,2,2013,2021,254,0.12,0.159,metoda,,False,False
722,end stage ankle arthritis,4,2015,2020,232,0.12,0.158,rozpoznanie,,True,False
723,data synthesis,2,2019,2021,211,0.12,0.159,metoda,,False,False
724,tertiary hospital,2,2023,2025,175,0.12,0.194,metoda,,False,False
725,25 9,2,2021,2021,170,0.12,0.139,,,False,False
726,patient concern,2,2017,2019,213,0.119,0.246,metoda,,False,False
727,full text,2,2021,2023,172,0.119,0.152,metoda,,False,False
728,patient demographic characteristic,3,2021,2022,154,0.119,0.155,metoda,,False,False
729,pm,1,2022,2025,148,0.119,0.158,metoda,,False,False
730,cutibacterium acne,2,2019,2022,127,0.119,0.155,rozpoznanie,,True,False
731,social determinant,2,2023,2024,88,0.119,0.195,organizacja,,False,False
732,11 0,2,2023,2025,203,0.118,0.151,,,False,False
733,18 1,2,2020,2025,184,0.118,0.136,metoda,,False,False
734,tad,1,2023,2025,182,0.118,0.158,parametr,tip apex distance,False,False
735,preoperative opioid use,3,2018,2020,180,0.118,0.202,czynnik,,False,False
736,cor,1,2022,2024,171,0.118,0.224,metoda,,False,False
737,ambulatory surgery center,3,2023,2024,155,0.118,0.173,,,False,False
738,8 study,2,2021,2024,142,0.118,0.137,metoda,,False,False
739,mechanical lateral distal femoral angle,5,2021,2021,125,0.118,0.126,,,False,False
740,hu value,2,2023,2025,105,0.118,0.179,parametr,hounsfield unit,False,False
741,searche,1,2023,2025,196,0.116,0.172,,,False,False
742,predictor variable,2,2023,2023,161,0.116,0.16,metoda,,False,False
743,fracture morphology,2,2023,2025,154,0.116,0.158,,,False,False
744,reliance,1,2023,2025,152,0.116,0.265,,,False,False
745,maximum von mise,3,2022,2023,126,0.116,0.136,parametr,maximum stress,False,False
746,medicare patient,2,2018,2022,207,0.115,0.177,organizacja,,False,False
747,gold standard treatment,3,2023,2024,188,0.115,0.152,metoda,,False,False
748,depuy synthe,2,2018,2020,161,0.115,0.158,,,False,False
749,overall revision rate,3,2023,2021,161,0.115,0.133,wynik,,False,False
750,worse clinical outcome,3,2022,2022,155,0.115,0.191,metoda,,False,False
751,mjoa,1,2022,2025,137,0.115,0.158,,,False,False
752,evidence iii,2,2023,2025,127,0.115,0.151,metoda,,False,False
753,rts rate,2,2022,2025,106,0.115,0.179,,,False,False
754,78 6,2,2022,2022,186,0.113,0.147,metoda,,False,False
