pozycja,term,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,kategoria,wariant_do,na_mapie,w_rdzeniu_4
88,lower risk,2,2019,2025,938,0.653,0.818,metoda,,False,False
89,random effect model,3,2016,2025,832,0.65,1.119,metoda,,False,False
90,opioid consumption,2,2013,2025,861,0.646,0.746,organizacja,,False,False
91,race,1,2022,2024,913,0.635,0.824,,,False,False
92,oks,1,2012,2025,878,0.634,0.674,skala,clinical outcome score,False,False
93,adult spinal deformity,3,2017,2025,828,0.634,0.796,rozpoznanie,,True,True
94,modified harris hip score,4,2016,2021,924,0.633,0.764,skala,,False,False
95,all p,2,2019,2025,789,0.619,0.89,,,False,False
96,baseline characteristic,2,2014,2025,737,0.606,1.119,metoda,,False,False
97,ssi,1,2018,2024,1040,0.605,0.672,rozpoznanie,surgical site infection,True,False
98,editorial commentary,2,2015,2024,867,0.602,0.976,metoda,,False,True
99,final analysis,2,2017,2025,761,0.598,0.725,metoda,,False,False
100,case presentation,2,2014,2025,903,0.596,0.739,metoda,,False,False
101,descriptive statistic,2,2018,2025,797,0.596,0.768,metoda,,False,False
102,primary anterior cruciate ligament reconstruction,5,2018,2025,906,0.593,0.796,technika,,True,False
103,google scholar,2,2012,2025,765,0.59,0.703,metoda,,False,False
104,charlson comorbidity index,3,2013,2025,704,0.59,0.703,czynnik,,False,False
105,literature search,2,2019,2024,964,0.589,0.643,metoda,,False,False
106,older age,2,2019,2025,938,0.589,0.732,metoda,,False,False
107,tranexamic acid,2,2015,2021,1173,0.583,0.804,lek,,True,True
108,systematic search,2,2011,2025,772,0.582,0.94,metoda,,False,False
109,opioid use,2,2017,2025,735,0.574,0.717,organizacja,,False,False
110,meta analysis guideline,3,2017,2024,547,0.574,0.737,metoda,,False,False
111,osteoarthritis outcome score,3,2016,2024,815,0.573,0.781,skala,,False,False
112,significant risk factor,3,2022,2025,927,0.572,0.775,,,False,False
113,ll,1,2013,2022,725,0.569,0.684,parametr,,False,False
114,all study,2,2015,2023,949,0.563,0.648,metoda,,False,False
115,nrs,1,2016,2024,718,0.561,0.708,skala,numeric rating scale,False,False
116,odi score,2,2018,2025,834,0.557,0.732,skala,odi,False,False
117,asa,1,2016,2022,920,0.553,0.625,czynnik,,False,False
118,therapeutic level iii,3,2016,2019,867,0.55,0.655,metoda,,False,False
119,pass,1,2019,2025,511,0.544,0.746,metoda,,False,False
120,direct anterior approach,3,2014,2023,716,0.531,0.568,technika,,True,True
121,current evidence,2,2012,2025,901,0.524,0.574,metoda,,False,False
122,multivariable logistic regression,3,2017,2025,549,0.524,0.804,metoda,,False,False
123,ndi,1,2016,2022,891,0.512,0.581,skala,clinical outcome score,False,False
124,primary aim,2,2017,2024,741,0.511,0.571,metoda,,False,False
125,prospectively collected data,3,2013,2017,917,0.508,0.595,metoda,,False,False
126,mhh,1,2014,2025,666,0.508,0.603,skala,modified harris hip score,False,False
127,pelvic tilt,2,2015,2022,811,0.506,0.567,parametr,,False,False
128,significantly higher rate,3,2022,2025,712,0.506,0.595,metoda,,False,False
129,cross sectional study,3,2018,2025,848,0.503,0.631,metoda,,False,True
130,ovcf,1,2011,2025,600,0.492,0.674,rozpoznanie,osteoporotic vertebral compression fracture,True,False
131,multivariate logistic regression analysis,4,2014,2025,660,0.487,0.603,metoda,,False,False
132,potential risk factor,3,2017,2025,761,0.486,0.595,metoda,,False,False
133,2 3,2,2023,2025,833,0.483,0.538,,,False,False
